"GEOID","suffix","n"
"13211","RD",253
"13213","RD",395
"13215","DR",1178
"13217","DR",437
"13219","RD",320
"13221","RD",343
"13225","RD",224
"13227","RD",482
"13229","RD",431
"13231","RD",321
"13233","RD",523
"13235","RD",298
"13237","DR",199
"13239","RD",113
"13241","LN",1083
"13243","RD",231
"13245","DR",1158
"13247","SE",653
"13249","RD",144
"13251","RD",393
"13253","RD",206
"13255","RD",404
"13257","RD",566
"13259","RD",186
"13261","RD",351
"13263","RD",280
"13265","RD",59
"13267","RD",805
"13269","RD",377
"13271","RD",243
"13273","RD",207
"13275","ST",569
"13277","RD",515
"13279","RD",493
"13281","RD",480
"13283","RD",248
"13285","RD",424
"13287","RD",253
"13289","RD",270
"13291","RD",922
"13293","RD",331
"13295","DR",602
"13297","DR",468
"13299","ST",493
"13301","RD",197
"13303","RD",382
"13305","RD",566
"13307","RD",179
"13309","RD",172
"13311","DR",629
"13313","DR",853
"13315","RD",303
"13317","RD",256
"13319","RD",288
"13321","RD",422
"15001","ST",1420
"15003","ST",3802
"15005","ST",19
"15007","RD",605
"15009","PL",1162
"16001","ST",3337
"16003","RD",239
"16005","RD",579
"16007","RD",229
"16009","RD",341
"16011","RD",691
"16013","RD",457
"16015","RD",680
"16017","RD",1486
"16019","DR",827
"16021","RD",482
"16023","N",70
"16025","RD",120
"16027","AVE",999
"16029","RD",388
"16031","RD",295
"16033","RD",167
"16035","RD",403
"16037","RD",317
"16039","RD",645
"16041","RD",171
"16043","RD",447
"16045","RD",138
"16047","E",166
"16049","RD",1008
"16051","N",380
"16053","E",177
"16055","RD",1448
"16057","RD",525
"16059","RD",885
"16061","RD",229
"16063","RD",149
"16065","RD",176
"16067","RD",245
"16069","RD",465
"16071","RD",164
"16073","RD",439
"16075","ST",173
"16077","RD",342
"16079","RD",439
"16081","RD",301
"16083","N",443
"16085","RD",472
"16087","RD",223
"17001","ST",1096
"17003","RD",254
"17005","ST",430
"17007","DR",245
"17009","E",201
"17011","ST",1637
"17013","RD",181
"17015","ST",373
"17017","RD",385
"17019","DR",1397
"17021","ST",734
"17023","ST",626
"17025","E",316
"17027","ST",643
"17029","ST",478
"17031","AVE",11912
"17033","ST",658
"17035","ST",184
"17037","ST",737
"17039","RD",731
"17041","ST",375
"17043","CT",3365
"17045","ST",648
"17047","ST",199
"17049","ST",738
"17051","ST",528
"17053","RD",331
"17055","ST",1151
"17057","RD",887
"17059","RD",226
"17061","ST",309
"17063","ST",480
"17065","E",334
"17067","ST",638
"17069","ST",83
"17071","ST",268
"17073","ST",1060
"17075","RD",1085
"17077","RD",942
"17079","ST",471
"17081","RD",636
"17083","RD",384
"17085","RD",519
"17087","LN",277
"17089","DR",1747
"17091","RD",816
"17093","DR",544
"17095","ST",839
"17097","CT",2795
"17099","ST",1623
"17101","ST",246
"17103","RD",496
"17105","RD",669
"17107","ST",989
"17109","ST",828
"17111","DR",1752
"17113","RD",1394
"17115","ST",903
"17117","ST",1314
"17119","ST",1899
"17121","ST",727
"17123","ST",328
"17125","ST",458
"17127","RD",234
"17129","ST",385
"17131","ST",544
"17133","RD",383
"17135","ST",805
"17137","RD",592
"17139","ST",358
"17141","RD",696
"17143","ST",941
"17145","RD",555
"17147","ST",462
"17149","ST",879
"17151","RD",211
"17153","RD",219
"17155","ST",222
"17157","ST",781
"17159","N",278
"17161","AVE",1099
"17163","DR",2245
"17165","RD",556
"17167","ST",1369
"17169","RD",328
"17171","RD",227
"17173","ST",514
"17175","ST",160
"17177","RD",572
"17179","ST",1219
"17181","LN",340
"17183","RD",1421
"17185","ST",162
"17187","ST",692
"17189","ST",534
"17191","ST",289
"17193","ST",439
"17195","RD",622
"17197","DR",3247
"17199","ST",1068
"17201","DR",1334
"17203","ST",620
"18001","ST",317
"18003","DR",2131
"18005","DR",621
"18007","ST",251
"18009","ST",237
"18011","ST",338
"18013","RD",383
"18015","ST",316
"18017","ST",438
"18019","DR",722
"18021","ST",474
"18023","ST",448
"18025","RD",361
"18027","ST",361
"18029","LN",501
"18031","ST",265
"18033","ST",426
"18035","ST",778
"18037","ST",495
"18039","DR",1169
"18041","ST",203
"18043","DR",574
"18045","ST",423
"18047","RD",481
"18049","ST",261
"18051","ST",532
"18053","ST",964
"18055","ST",491
"18057","DR",2384
"18059","DR",530
"18061","NE",499
"18063","DR",1259
"18065","ST",535
"18067","ST",509
"18069","ST",429
"18071","ST",364
"18073","ST",300
"18075","ST",358
"18077","RD",327
"18079","W",268
"18081","DR",1037
"18083","RD",740
"18085","ST",797
"18087","E",264
"18089","ST",2830
"18091","ST",802
"18093","RD",674
"18095","ST",1391
"18097","DR",4582
"18099","RD",688
"18101","RD",279
"18103","ST",461
"18105","DR",829
"18107","ST",411
"18109","RD",632
"18111","ST",281
"18113","ST",492
"18115","RD",103
"18117","ST",362
"18119","RD",590
"18121","ST",271
"18123","RD",465
"18125","ST",276
"18127","DR",940
"18129","RD",503
"18131","W",265
"18133","ST",287
"18135","ST",422
"18137","ST",284
"18139","ST",285
"18141","ST",1510
"18143","RD",245
"18145","ST",349
"18147","N",343
"18149","ST",308
"18151","LAKE",394
"18153","ST",515
"18155","RD",337
"18157","DR",897
"18159","ST",227
"18161","RD",158
"18163","DR",1040
"18165","ST",386
"18167","ST",1273
"18169","ST",403
"18171","ST",175
"18173","RD",585
"18175","RD",634
"18177","ST",727
"18179","ST",262
"18181","ST",388
"18183","ST",210
"19001","ST",364
"19003","ST",177
"19005","RD",276
"19007","ST",584
"19009","ST",248
"19011","ST",382
"19013","ST",847
"19015","ST",517
"19017","ST",360
"19019","ST",414
"19021","ST",390
"19023","ST",512
"19025","ST",351
"19027","ST",513
"19029","ST",410
"19031","ST",472
"19033","ST",376
"19035","ST",334
"19037","ST",307
"19039","ST",329
"19041","ST",340
"19043","ST",536
"19045","ST",572
"19047","ST",421
"19049","ST",929
"19051","ST",481
"19053","ST",580
"19055","ST",554
"19057","ST",657
"19059","ST",376
"19061","ST",576
"19063","ST",260
"19065","ST",445
"19067","ST",293
"19069","ST",322
"19071","ST",357
"19073","ST",410
"19075","ST",306
"19077","ST",439
"19079","ST",360
"19081","ST",268
"19083","ST",503
"19085","ST",495
"19087","ST",597
"19089","ST",218
"19091","ST",260
"19093","ST",226
"19095","ST",435
"19097","ST",608
"19099","ST",446
"19101","ST",373
"19103","NE",599
"19105","ST",484
"19107","ST",664
"19109","ST",499
"19111","ST",564
"19113","NE",768
"19115","ST",445
"19117","ST",348
"19119","ST",271
"19121","ST",357
"19123","ST",594
"19125","ST",621
"19127","ST",562
"19129","ST",328
"19131","ST",372
"19133","ST",450
"19135","ST",273
"19137","ST",379
"19139","ST",692
"19141","ST",287
"19143","ST",169
"19145","ST",608
"19147","ST",319
"19149","ST",348
"19151","ST",293
"19153","ST",2886
"19155","ST",954
"19157","ST",562
"19159","ST",350
"19161","ST",425
"19163","ST",1530
"19165","ST",370
"19167","ST",342
"19169","ST",698
"19171","ST",618
"19173","ST",402
"19175","ST",440
"19177","ST",421
"19179","ST",617
"19181","ST",733
"19183","ST",445
"19185","ST",449
"19187","ST",622
"19189","ST",228
"19191","ST",394
"19193","ST",1324
"19195","ST",237
"19197","ST",290
"20001","ST",581
"20003","RD",534
"20005","RD",459
"20007","RD",312
"20009","ST",404
"20011","ST",635
"20013","ST",439
"20015","ST",999
"20017","RD",293
"20019","ST",191
"20021","ST",613
"20023","ST",76
"20025","ST",123
"20027","RD",251
"20029","RD",373
"20031","ST",343
"20033","ST",79
"20035","RD",739
"20037","ST",982
"20039","RD",98
"20041","ST",466
"20043","RD",403
"20045","RD",1100
"20047","AVE",173
"20049","ST",204
"20051","ST",394
"20053","RD",186
"20055","RD",338
"20057","RD",492
"20059","ST",386
"20061","ST",237
"20063","ST",117
"20065","AVE",247
"20067","ST",97
"20069","RD",211
"20071","RD",61
"20073","ST",727
"20075","ST",80
"20077","AVE",264
"20079","ST",493
"20081","AVE",54
"20083","RD",265
"20085","RD",409
"20087","ST",536
"20089","RD",374
"20091","ST",7402
"20093","ST",63
"20095","ST",378
"20097","ST",331
"20099","RD",397
"20101","RD",80
"20103","ST",1185
"20105","RD",115
"20107","RD",499
"20109","AVE",59
"20111","ST",367
"20113","ST",474
"20115","ST",529
"20117","RD",426
"20119","RD",294
"20121","ST",610
"20123","RD",329
"20125","ST",784
"20127","ST",254
"20129","ST",74
"20131","RD",682
"20133","RD",312
"20135","RD",370
"20137","ST",119
"20139","ST",602
"20141","AVE",256
"20143","RD",445
"20145","ST",126
"20147","RD",411
"20149","RD",564
"20151","ST",355
"20153","ST",59
"20155","RD",758
"20157","RD",225
"20159","ST",207
"20161","RD",481
"20163","RD",316
"20165","ST",142
"20167","ST",513
"20169","RD",533
"20171","RD",101
"20173","ST",4427
"20175","AVE",134
"20177","ST",1464
"20179","S",142
"20181","ST",73
"20183","RD",375
"20185","ST",197
"20187","AVE",43
"20189","ST",102
"20191","ST",517
"20193","ST",132
"20195","AVE",169
"20197","RD",401
"20199","RD",120
"20201","RD",366
"20203","ST",113
"20205","RD",586
"20207","RD",378
"20209","ST",2221
"21001","RD",1135
"21003","RD",632
"21005","RD",223
"21007","RD",280
"21009","RD",772
"21011","RD",407
"21013","RD",1079
"21015","DR",704
"21017","RD",194
"21019","ST",526
"21021","RD",218
"21023","RD",240
"21025","RD",563
"21027","RD",879
"21029","DR",532
"21031","RD",714
"21033","RD",514
"21035","DR",637
"21037","DR",340
"21039","RD",100
"21041","RD",126
"21043","RD",1097
"21045","RD",589
"21047","RD",786
"21049","LN",227
"21051","RD",895
"21053","RD",404
"21055","RD",490
"21057","RD",648
"21059","RD",475
"21061","RD",461
"21063","RD",542
"21065","RD",523
"21067","DR",1028
"21069","RD",345
"21071","RD",839
"21073","DR",326
"21075","ST",157
"21077","RD",108
"21079","RD",313
"21081","RD",297
"21083","RD",586
"21085","RD",847
"21087","RD",752
"21089","RD",804
"21091","RD",198
"21093","CT",575
"21095","RD",1088
"21097","RD",283
"21099","RD",574
"21101","RD",381
"21103","RD",306
"21105","RD",282
"21107","RD",552
"21109","RD",661
"21111","CT",2639
"21113","DR",379
"21115","RD",526
"21117","DR",822
"21119","RD",511
"21121","RD",855
"21123","RD",400
"21125","RD",1364
"21127","RD",633
"21129","RD",523
"21131","RD",555
"21133","RD",782
"21135","RD",416
"21137","RD",477
"21139","RD",407
"21141","RD",955
"21143","RD",357
"21145","DR",488
"21147","RD",1428
"21149","RD",202
"21151","DR",831
"21153","RD",921
"21155","RD",454
"21157","RD",631
"21159","RD",413
"21161","RD",181
"21163","RD",443
"21165","RD",403
"21167","RD",233
"21169","RD",550
"21171","RD",650
"21173","DR",200
"21175","RD",969
"21177","LN",500
"21179","RD",287
"21181","RD",204
"21183","RD",474
"21185","CT",427
"21187","RD",276
"21189","RD",408
"21191","RD",336
"21193","LN",642
"21195","RD",964
"21197","RD",350
"21199","RD",1587
"21201","RD",103
"21203","RD",617
"21205","RD",638
"21207","RD",736
"21209","DR",290
"21211","RD",307
"21213","RD",312
"21215","RD",204
"21217","RD",601
"21219","RD",446
"21221","RD",565
"21223","RD",232
"21225","RD",378
"21227","RD",593
"21229","LN",207
"21231","RD",695
"21233","RD",358
"21235","RD",922
"21237","RD",467
"21239","RD",161
"22001","RD",572
"22003","RD",724
"22005","RD",1035
"22007","ST",319
"22009","RD",455
"22011","RD",1615
"22013","RD",690
"22015","RD",649
"22017","ST",1667
"22019","ST",1851
"22021","RD",554
"22023","RD",413
"22025","RD",541
"22027","RD",589
"22029","RD",373
"22031","RD",718
"22033","DR",2741
"22035","RD",174
"22037","LN",218
"22039","RD",654
"22041","RD",586
"22043","RD",580
"22045","ST",805
"22047","ST",379
"22049","RD",606
"22051","ST",1954
"22053","RD",506
"22055","DR",1855
"22057","ST",1193
"22059","RD",1051
"22061","RD",501
"22063","RD",976
"22065","ST",211
"22067","RD",582
"22071","ST",1885
"22075","LN",528
"22083","RD",602
"22091","LN",428
"22093","ST",430
"22101","ST",1168
"22111","RD",1048
"22121","LN",202
"23005","RD",3864
"23009","RD",2597
"23015","RD",1769
"23025","RD",1877
"23031","RD",2764
"24009","RD",604
"24021","CT",1459
"24029","RD",397
"24035","LN",602
"24045","DR",519
"24047","RD",574
"24510","AVE",1898
"25007","RD",745
"25009","ST",4700
"25013","ST",3347
"25015","RD",963
"25021","ST",3675
"25023","ST",3074
"25025","ST",3460
"25027","ST",5426
"26001","RD",562
"26003","RD",681
"26005","ST",1155
"26007","RD",489
"26009","RD",575
"26011","RD",479
"26013","RD",509
"26015","RD",696
"26017","RD",715
"26019","RD",522
"26021","ST",1155
"26023","RD",553
"26025","ST",810
"26027","ST",720
"26029","RD",636
"26031","RD",858
"26033","RD",1145
"26035","RD",593
"26037","RD",576
"26039","RD",566
"26041","RD",687
"26043","RD",448
"26045","DR",558
"26047","RD",586
"26049","DR",2318
"26051","RD",536
"26053","RD",534
"26055","DR",776
"26057","RD",531
"26059","RD",494
"26061","RD",854
"26063","RD",543
"26065","ST",1048
"26067","ST",578
"26069","RD",803
"26071","RD",527
"26073","RD",507
"26075","RD",1103
"26077","ST",1357
"26079","NE",360
"26081","SE",3626
"26083","RD",182
"26085","RD",669
"26087","RD",692
"26089","RD",613
"26091","ST",616
"26093","DR",1768
"26095","RD",300
"26097","RD",525
"26101","RD",694
"26103","RD",730
"26105","RD",714
"26107","AVE",479
"26109","RD",450
"26111","RD",615
"26113","RD",698
"26115","DR",747
"26117","RD",1098
"26119","RD",512
"26121","ST",995
"26123","ST",778
"26125","DR",6713
"26127","RD",660
"26129","RD",735
"26131","RD",330
"26133","RD",579
"26135","RD",500
"26137","RD",505
"26139","DR",1515
"26141","RD",454
"26143","RD",646
"26145","ST",1229
"26147","ST",727
"26149","RD",658
"26151","RD",699
"26153","RD",380
"26155","ST",600
"26157","RD",743
"26159","ST",923
"26161","DR",1748
"26163","ST",9166
"26165","RD",815
"27001","PL",548
"27003","NE",3415
"27005","RD",562
"27007","NE",995
"27009","NE",469
"27011","ST",271
"27013","ST",826
"27015","ST",400
"27017","RD",722
"27019","DR",399
"27021","NW",1128
"27023","ST",136
"27025","ST",709
"27027","S",797
"27029","ST",216
"27031","RD",350
"27033","ST",231
"27035","RD",1042
"27037","CT",1280
"27039","ST",261
"27041","NW",381
"27043","ST",471
"27045","ST",488
"27047","ST",548
"27049","ST",613
"27051","ST",283
"27053","N",5314
"27055","RD",295
"27057","DR",553
"27059","NW",721
"27061","RD",1201
"27063","ST",294
"27065","ST",280
"27067","NE",434
"27069","ST",166
"27071","RD",157
"27073","ST",343
"27075","RD",577
"27077","NW",287
"27079","ST",432
"27081","ST",252
"27083","ST",602
"27085","ST",269
"27087","AVE",168
"27089","NW",388
"27091","ST",489
"27093","ST",510
"27095","ST",363
"27097","ST",455
"27099","ST",538
"27101","ST",293
"27103","ST",278
"27105","AVE",341
"27107","ST",229
"27109","NW",1346
"27111","AVE",1235
"27113","NE",187
"27115","RD",957
"27117","ST",173
"27119","SE",771
"27121","ST",420
"27123","ST",1796
"27125","SE",169
"27127","ST",487
"27129","ST",320
"27131","AVE",397
"27133","ST",398
"27135","AVE",442
"27137","RD",3328
"27139","ST",379
"27141","NW",1215
"27143","ST",382
"27145","ST",924
"27147","NE",239
"27149","ST",252
"27151","SW",192
"27153","AVE",411
"27155","ST",156
"27157","ST",471
"27159","AVE",255
"27161","ST",302
"27163","N",2399
"27165","ST",181
"27167","AVE",242
"27169","ST",395
"27171","NE",1101
"27173","ST",250
"28001","RD",419
"28003","ST",221
"28005","RD",355
"28007","RD",162
"28009","RD",359
"28011","RD",599
"28013","ST",188
"28015","RD",203
"28017","ST",158
"28019","RD",451
"28021","RD",267
"28023","ST",142
"28025","RD",453
"28027","RD",370
"28029","LN",505
"28031","RD",502
"28033","DR",1510
"28035","RD",631
"28037","RD",283
"28039","RD",678
"28041","RD",632
"28043","RD",529
"28045","ST",926
"28047","DR",1402
"28049","DR",1478
"28051","RD",507
"28053","RD",388
"28055","RD",188
