GEOID,suffix,n
21219,RD,446
21221,RD,566
21223,RD,232
21225,RD,416
21227,RD,601
21229,LN,207
21231,RD,698
21233,RD,363
21235,RD,932
21237,RD,622
21239,RD,165
22001,RD,577
22003,RD,755
22005,RD,1041
22007,ST,319
22009,RD,457
22011,RD,1749
22013,RD,1215
22015,RD,655
22017,ST,1668
22019,ST,1851
22021,RD,590
22023,RD,577
22025,RD,543
22027,RD,794
22029,RD,376
22031,RD,1089
22033,DR,2748
22035,RD,297
22037,LN,219
22039,RD,657
22041,RD,588
22043,RD,659
22045,ST,805
22047,ST,379
22049,RD,1234
22051,ST,1954
22053,RD,531
22055,DR,1855
22057,ST,1194
22059,RD,1055
22061,RD,858
22063,RD,1000
22065,ST,211
22067,RD,764
22069,RD,1596
22071,ST,1887
22073,RD,1000
22075,LN,528
22077,ST,230
22079,RD,1468
22081,RD,641
22083,RD,707
22085,RD,792
22087,DR,297
22089,ST,324
22091,LN,428
22093,ST,435
22095,ST,336
22097,RD,1123
22099,RD,968
22101,ST,1168
22103,DR,1853
22105,RD,1477
22107,RD,269
22109,ST,884
22111,RD,1719
22113,RD,1132
22115,RD,2290
22117,RD,1957
22119,RD,802
22121,LN,202
22123,RD,624
22125,RD,218
22127,RD,2068
23001,RD,1094
23003,RD,2246
23005,RD,3910
23007,RD,1657
23009,RD,2991
23011,RD,2202
23013,RD,1228
23015,RD,1846
23017,RD,2433
23019,RD,2371
23021,RD,1382
23023,RD,698
23025,RD,1955
23027,RD,1397
23029,RD,1699
23031,RD,2771
24001,RD,900
24003,RD,3386
24005,RD,3945
24009,RD,616
24011,RD,390
24013,DR,1521
24015,RD,813
24017,PL,1564
24019,RD,522
24021,CT,1500
24023,RD,699
24025,CT,1597
24027,CT,1371
24029,RD,397
24031,CT,2578
24033,CT,2459
24035,LN,604
24037,LN,1209
24039,RD,379
24041,RD,568
24043,RD,698
24045,DR,519
24047,RD,583
24510,AVE,1899
25001,RD,4365
25003,RD,1662
25005,ST,4295
25007,RD,777
25009,ST,4719
25011,RD,1381
25013,ST,3348
25015,RD,967
25017,ST,7841
25019,RD,345
25021,ST,3684
25023,ST,3079
25025,ST,3463
25027,ST,5439
26001,RD,563
26003,RD,774
26005,ST,1166
26007,RD,492
26009,RD,595
26011,RD,479
26013,RD,555
26015,RD,701
26017,RD,716
26019,RD,553
26021,ST,1165
26023,RD,567
26025,ST,850
26027,ST,721
26029,RD,654
26031,RD,861
26033,RD,1211
26035,RD,593
26037,RD,579
26039,RD,584
26041,RD,827
26043,RD,488
26045,DR,562
26047,RD,590
26049,DR,2333
26051,RD,538
26053,RD,659
26055,DR,782
26057,RD,559
26059,RD,515
26061,RD,935
26063,RD,546
26065,ST,1055
26067,ST,579
26069,RD,833
26071,RD,650
26073,RD,508
26075,RD,1105
26077,ST,1363
26079,RD,770
26081,DR,3741
26083,RD,206
26085,RD,709
26087,RD,695
26089,RD,667
26091,ST,631
26093,DR,1778
26095,RD,535
26097,RD,553
26099,DR,5452
26101,RD,708
26103,RD,835
26105,RD,727
26107,AVE,481
26109,RD,552
26111,RD,615
26113,RD,707
26115,DR,748
26117,RD,1284
26119,RD,561
26121,RD,1000
26123,ST,778
26125,DR,6848
26127,RD,660
26129,RD,779
26131,RD,354
26133,RD,579
26135,RD,521
26137,RD,522
26139,DR,1552
26141,RD,480
26143,RD,705
26145,ST,1231
26147,ST,731
26149,RD,668
26151,RD,700
26153,RD,467
26155,ST,600
26157,RD,745
26159,ST,924
26161,DR,1757
26163,ST,9191
26165,RD,836
27001,RD,612
27003,ST,3017
27005,RD,743
